Store_Name,Category,Floor_Level,Contact_Number,Opening_Hours,Closing_Hours
First National Bank,Bank,0,0873450650,09:00,17:00
Sobert Man,Beauty,0,0115683788,08:00,18:00
Tech fix & gadgets,Electronics,0,0117029100,09:00,18:00
Wish Collection,Home & Décor,0,0117840408,09:00,18:00
Sobert,Beauty,0,0117060811,09:00,18:00
WaxIT,Beauty,0,0101003598,09:00,18:00
Vodacom,Telecom,0,0117060971,09:00,18:00
Cardies,Stationary,0,0117068898,09:00,18:00
Dischem,Health & Beauty,0,0112678800,08:30,19:00
Vision Optometrist,Health,0,0117061384,09:00,18:00
PNA,Stationary,0,0117068992,09:00,18:00
Le Creuset,Home & Décor,0,0117062198,09:00,18:00
Bed Studio,Furniture,0,0723567360,09:00,18:00
At Home,Furniture,0,0117068178,09:00,17:00
Mr Price Home,Furniture,0,0114634548,09:00,18:00
The Daily Café,Resturant,0,0660268833,07:30,18:00
Miladys,Clothing,0,0800212535,09:00,18:00
Clicks,Health & Beauty,0,0112442250,08:30,18:00
Telkom,Telecom,0,0114632276,09:00,18:00
Volpes,Home & Décor,0,0107301325,09:00,18:00
Nicci,Clothing,0,0117066487,09:00,17:00
Poetry,Clothing,0,0114635162,09:00,18:00
Typo,Stationary,0,0872918394,09:00,18:00
Iconomy,Home & Décor,0,0815496856,09:00,18:00
Old Khaki,Clothing,0,0114635346,09:00,18:00
Standard Bank,Bank,0,0860101341,09:00,16:00
MTN,Telecom,0,0838696616,09:00,18:00
Checkers,Food,0,0112448300,08:00,19:00
Checkers Liqour,Liquor,0,0112448311,08:00,19:00
Absolute Pets,Pet Shop,0,0115686103,08:00,19:00
ABSA Bank,Bank,0,0114634375,08:30,15:30
Bryanston Medical,Health,0,0686069621,10:00,18:00
Revive,Dry Cleaners,0,0659118487,09:00,18:00
Postnet,Mail,0,0117068540,09:00,18:00
The Blockman,Restaurant,1,0109005383,11:00,22:30
Kolanaki,Restaurant,1,0109005694,11:00,22:30
Flight Centre,Service,1,0114605900,09:00,17:30
Paul's Homemade Ice Cream,Dessert,1,0107531149,09:30,19:30
Brynston Jewllers,Jewellry,1,0114633172,09:00,17:00
Asozar,Clothing,1,0827938375,09:00,19:00
Warners Menwear,Clothing,1,0114633901,09:00,17:00
Wellness Warehouse,Health,1,0104958741,09:00,18:00
Edgars Beauty,Cosmetics,1,0105938505,09:00,18:00
Jj Cale,Tabacconist,1,0117063310,09:00,19:00
Nedbank,Bank,1,0800555111,09:00,16:00
Colcacchio,Restaurant,1,0114635034,10:30,21:00
Wellness Bar,Health,1,0714276972,09:00,18:00
Bespoke Suits,Clothing,1,0721170040,09:00,18:00
Porter & Craft,Service,1,0101571662,09:00,18:00
Silver Image,Jewellry,1,0818451400,09:00,18:00
Samsonite,Accessories,1,0117066589,09:00,18:00
Cape Union Mart,Outdoor,1,0117067573,09:00,18:00
Exclusive Books,Stationary,1,0873549232,09:00,18:00
Step Ahead,Footwear,1,0102130715,09:00,18:00
Queen's Park,Clothing,1,0101570171,09:00,18:00
Pick n Pay Closthing,Clothing,1,0117064985,09:00,18:00
Superdry StoreClothing,Clothing,1,0873527137,09:00,18:00
Incredible Connection,Electronic,1,0117029100,09:00,18:00
The Body Shop,Beauty,1,0117069931,09:00,18:00
The Eyemakers Optometrist,Health,1,0824551938,09:00,17:00
Tsonga,Footwear,1,0120070524,09:00,18:00
Lisa Raleigh,Sports Wear,1,0765660420,09:00,18:00
Trenton,Clothing,1,0836880636,09:00,18:00
Keedo,Clothing,1,0114634782,09:00,18:00
Earth Child,Clothing,1,0877571361,09:00,18:00
Cabouchon,Jewellry,1,0117066134,09:00,17:00
Whiskey brother & co,Liqour,1,0810818832,09:00,18:00
Franco International,Beauty,1,0114787303,08:00,18:00
Woolworths,Food,1,0117996600,08:00,19:00
